Locality,Type,Price,Rooms,Living area(m2),Plot(m2),Installed Kitchen,Furnished,Fireplace,Terrace,Terrace Surface(m2),Garden,Garden Surface(m2),No.Facades,Swimming Pool,Condition,Construction Year,Energy Label
Beersel,House,369000€,4,143,185,0,,,1,,1,120,2,,To be done up,1930,D
Juprelle-fexhe-slins,Villa,479000€,5,250,1343,1,0,,1,30,1,1000,4,0,Good,,E
Ronse,House,230000€,2,250,930,1,,,1,,,,3,,To be done up,,E
Bruxelles,House,569000€,5,219,,1,,,1,9,1,1120,2,,As new,2010,C
Ravels,Villa,785000€,4,363,1628,,,1,1,,,,4,,As new,1988,C
Gent,House,625000€,3,656,568,1,,,,,,,,,To renovate,,E
Sint-gillis,Apartment-block,649000€,4,220,86,0,0,,,,,,3,0,Good,1850,F
Antwerpen,House,698000€,4,247,,,,,,,1,60,,,As new,,B
Hooglede,House,439000€,2,112,290,,,,,,1,215,3,,,,C
Saint-vaast,House,115000€,3,124,98,1,,,1,,,,2,,To restore,,E
Oostende,House,389000€,7,250,105,,,,1,80,,,,,Good,,B
Oosteeklo,House,289000€,3,159,626,1,,,,,,,,,To renovate,1955,F
Saint-gilles,House,1150000€,5,334,115,1,0,,1,1,1,30,2,0,To be done up,1884,F
Chaudfontaine-beaufays,Villa,495000€,4,155,1298,1,0,,1,50,1,978,4,0,Good,2008,C
Berchem,House,450000€,4,155,72,,,,1,7,,,2,,,,C
Saint-gilles,Apartment-block,750000€,6,400,,0,,,,,,,2,,To renovate,,G
Pecq-obigies,Villa,445000€,5,204,1211,1,0,,1,,1,1211,4,0,As new,1980,F
Tremelo,House,499000€,3,191,820,,,,,,,,,,Good,2005,E
Mons,House,730000€,5,383,2820,1,0,1,1,170,1,2575,4,0,Good,2004,C
Middelkerke,House,169000€,2,120,857,,,,,,,,,,,,E
Londerzeel,Mixed-use-building,614000€,4,204,984,0,,,1,,,,2,,Good,1970,B
Puurs-sint-amands,House,435000€,3,222,614,,0,,1,,,,3,0,Good,1962,E
Brasschaat,House,2150000€,5,650,3149,,,,,,,,4,,As new,1947,C
Zelzate,House,310000€,3,166,180,1,0,,1,9,1,68,2,0,Good,1931,C
Sint-katelijne-waver,House,349000€,3,145,290,1,,,1,,,,4,,To renovate,1962,F
Moorsele,House,325000€,3,140,321,1,,,,,,,,,Good,1971,B
Bilzen,House,298000€,4,153,666,1,,,,,,,,,,1966,F
Bredene,Villa,645000€,4,360,762,1,,,1,36,1,240,4,,As new,1954,B
Marchin,House,260000€,3,197,2418,0,,,,,,,4,,To be done up,,F
Ronsele,House,378300€,3,160,135,1,,,,,1,72,,,Good,2021,A
Braine-lalleud,Villa,500000€,3,156,2523,1,,,,,1,2523,4,,To be done up,1983,D
Landen,House,288000€,2,150,252,0,0,,1,80,1,100,3,0,Just renovated,1962,C
Aalst,House,459000€,6,277,139,,,1,1,20,,,,,Good,,B
Villers-la-ville,House,470000€,4,168,784,0,,,1,30,1,650,3,,Good,2023,A
Buggenhout,House,349000€,3,,471,1,,1,,,,,3,,Good,1978,D
Beersel,House,695000€,4,247,1873,1,0,,1,,,,4,0,Good,1983,D
Bavikhove,House,199000€,4,184,270,,,,,,1,153,2,,To renovate,1964,E
Eisden,House,311901€,3,195,,,,,1,18,1,24,,,Good,,Not specified
Liege,House,185000€,4,,124,0,0,,1,28,1,41,2,0,Good,,E
Brussel,House,1290000€,4,700,339,,,,,,,,4,,Good,1947,E
Genval,Mixed-use-building,445000€,,610,920,0,,,1,34,,,2,,To renovate,,C
Baronville,Villa,949000€,8,492,2600,,,1,1,,1,2100,4,,Just renovated,,A
Durbuy,House,495000€,4,227,907,,1,1,1,,1,907,4,1,,2006,E
